페이지,학과/구분,학년,이수구분,교과번호,교과목명,분반,학점,강의,실습,담당교수,수업시간,강의실,비고
133,한국학과,1,,872602,한국어와한국문화초급2,01 02,3 3,,,한국강 사17,화13:00-16:00,인30 - 일반A/V강의실,외국인만 한국학과 및 일반학과 수강가능 외국인만
133,한국학과,1,,872603,한국어와한국문화초급3 한국어와한국문화초급,01,3 3,,,,월13:00-16:00 월16:00-18: 0,인30 - 일반A/V강의실 인30 - 일반A/V강의실,한국학과 및 일반학과 수강가능 한국학과 및 외국인만 일반학과 수강가능
133,한국학과,1,,872606,한국어와한국문화중급1 한국어와한국문화중급2,,3 3,,,,목09:30-12:30 목13:00-16:00,인308 - 일반A/V강의실 인308 - 일반A/V강의실,한국학과 및 일반학과 외국인만 한국학과 및 수강가능 일반학과 외국인만
133,한국학과,1,,872607,한국어와한국문화중급3,,3,,,,,인30 - 일반A/V강의실,한국학과 및 일반학과 외국인만 수강가능
134,한국학과,1,,871008,한국어와한국문화중급 K-POP한국어,01 01 02,3 3 3,,,,,인30 - 일반A/V강의실 대교208 - 강의실 대교209 - 강의실,한국학과 및 일반학과 일반학과 외국인만
134,한국학과,1,,871009,드라마 ․ 예능한국어,01 02 01,3 3 3,,,,,대교208 - 강의실 대교209 - 강의실 대교207 - 강의실,일반학과 외국인만 수강가능
134,한국학과,1,,871011,학업한국어듣기,02 03 0,3 3 3,,,,,대교206 - 강의실 대교208 - 강의실 인308 - 일반A/V강의실,외국인만 한국학과 및 수강가능 일반학과 수강가능
134,한국학과,2,,871012,학업한국어말하기,01 02 03 0,3 3 3 3,,,,,대교206 - 강의실 대교207 - 강의실 대교208 - 강의실 인308 - 일반A/V강의실,외국인만 한국학과 및 일반학과 수강가능
134,한국학과,2,,871013,학업한국어쓰기 학업한국어읽기 비즈니스한국어1,01 02 03 0 01 02 03 0 01 02,3 3 3 3 3 3 3 3 3 3,,,,목16:00-18: 0 화10:00-13:00,대교206 - 강의실 대교207 - 강의실 대교208 - 강의실 인308 - 일반A/V강의실 대교207 - 강의실 대교206 - 강의실 대교208 - 강의실 인308 - 일반A/V강의실 대교311 - 강의실 대교206 - 강의실,외국인만 한국학과 및 일반학과 수강가능 외국인만 한국학과 및 일반학과 수강가능 외국인만 일반학과 수강가능
135,한국학과,2 3,,871021,비즈니스한국어1 비즈니스한국어2 한국의전통문화 한국의현대문화,03 0 01 02 03 0 01 02,3 3 3 3 3 3 3 3 3,,,,화1 :00-17:00 금16:00-18: 0 금09:30-12:30,대교207 - 강의실 인30 - 일반A/V강의실 대교311 - 강의실 대교206 - 강의실 대교207 - 강의실 인308 - 일반A/V강의실 인308 - 일반A/V강의실 인30 - 일반A/V강의실 인30 - 일반A/V강의실,일반학과 외국인만 한국학과 및 일반학과 수강가능 외국인만 한국학과 및 일반학과 한국학과 및 일반학과 수강가능
135,한국학과,2 3,,871022,외국어로서의한국어이해 교육법,,3,,,,,e-learning(온라인)1,한국학과 및 외국인만 일반학과
135,한국학과,2 3,전선,871023,외국어로서의한국어문법 교육론 외국어로서의한국어표현 교육법,,3 3,,,,금13:00-16:00,인308 - 일반A/V강의실 e-learning(온라인)1,한국학과 및 일반학과 외국인만 한국학과 및 수강가능 일반학과 외국인만 외국인만 수강가능 외국인만 수강가능 수강가능 수강가능
136,국제경영학과,,,872001,경영학의이해,,3,,,,,대교308 - 강의실,국제경영학과 외국인 유학생만
136,국제경영학과,,,872002,마케팅입문,01 02,3 3,,,,,대교308 - 강의실 대20 - 강의실,국제경영학과 외국인 유학생만
136,국제경영학과,1,,872003,조직행동개론 경력관리론,,3 3,,,,,대교308 - 강의실 대20 - 강의실,수강가능 국제경영학과 외국인 유학생만 국제경영학과 수강가능 외국인 유학생만 국제경영학과
136,국제경영학과,1,,872006,국제서비스마케팅 국제인적자원관리,01 02,3 3 3,,,,,대교308 - 강의실 대교308 - 강의실 대교311 - 강의실,외국인 유학생만 수강가능 국제경영학과 수강가능 외국인 유학생만
136,국제경영학과,1,,872007,비즈니스잉글리쉬,,3,,,,,대교308 - 강의실,수강가능 국제경영학과 외국인 유학생만
136,국제경영학과,1,,872008,글로벌마케팅이론,01 02,3 3,,,,,대교103 - 대강의실 대교307 - 강의실,수강가능 국제경영학과 외국인 유학생만 수강가능
136,국제경영학과,1,,872009,국제통상환경론,01 02,3 3,,,,,대교103 - 대강의실 대교307 - 강의실,국제경영학과 외국인 유학생만 수강가능
136,국제경영학과,2,,872010,비즈니스통계학,,3,,,,,e-learning(온라인)1,국제경영학과 외국인 유학생만
136,국제경영학과,2,,872011,국제무역실무론,01 02,3 3,,,,,대교307 - 강의실 대교308 - 강의실,수강가능 국제경영학과 외국인 유학생만
136,국제경영학과,2,,872012,E-Business,,3,,,,,e-learning(온라인)1,수강가능 국제경영학과 외국인 유학생만
136,국제경영학과,2,,872013,비즈니스창업론 글로벌기업분석,01 02,3 3 3,,,,,e-learning(온라인)1 대교311 - 강의실 대교308 - 강의실,[원격강좌]국제경 수강가능 영학과유학생만 국제경영학과 수강가능 외국인 유학생만 수강가능
136,국제경영학과,3,,872017,국제기업물류 글로벌경영전략,01 02,3 3 3,,,,,대교311 - 강의실 대교308 - 강의실 대교209 - 강의실,국제경영학과 외국인 유학생만 수강가능 국제경영학과 외국인 유학생만 수강가능
137,국제경영학과,,,872017,글로벌경영전략,02 03,3 3,,,,,대교307 - 강의실 대교311 - 강의실,국제경영학과 외국인 유학생만
137,국제경영학과,,,872018,글로벌생산및운영관리,01 02,3 3,,,,,대교209 - 강의실 대교307 - 강의실,국제경영학과 외국인 유학생만 수강가능
137,국제경영학과,3,,872019,글로벌CEO사례연구 ESG경영학,01 02,3 3 3,,,,,대교311 - 강의실 대교311 - 강의실 대교308 - 강의실,국제경영학과 외국인 유학생만 수강가능 국제경영학과 외국인 유학생만 수강가능
